specimen_id	donor_id	route	cell_type	n_cells	epithelial_positive_fraction	immune_positive_fraction	stromal_positive_fraction	endothelial_positive_fraction	any_nonepithelial_positive_fraction	INPP5D_positive_fraction	INPP5D_mean_raw_count	TIMP1_positive_fraction	TIMP1_mean_raw_count	S100P_positive_fraction	S100P_mean_raw_count	LCN2_positive_fraction	LCN2_mean_raw_count
HTA11_411_2000002011	HTA11_411	normal	ABS	432	0.997685185185185	0.0231481481481481	0.025462962962963	0.0925925925925926	0.138888888888889	0.0208333333333333	0.0231481481481481	0.00462962962962963	0.00462962962962963	0.185185185185185	0.354166666666667	0.159722222222222	0.219907407407407
HTA11_411_2000002011	HTA11_411	normal	GOB	185	1	0.0486486486486487	0.00540540540540541	0.0648648648648649	0.102702702702703	0.0378378378378378	0.0378378378378378	0.0216216216216216	0.0216216216216216	0.556756756756757	2.36756756756757	0.0432432432432432	0.0486486486486487
HTA11_411_2000002011	HTA11_411	normal	TAC	93	0.978494623655914	0.021505376344086	0.0537634408602151	0.0752688172043011	0.139784946236559	0.010752688172043	0.010752688172043	0	0	0.139784946236559	0.150537634408602	0.21505376344086	0.333333333333333
HTA11_411_2000002021	HTA11_411	normal	ABS	1598	0.994993742177722	0.0143929912390488	0.0137672090112641	0.0544430538172716	0.0794743429286608	0.0100125156445557	0.0106382978723404	0.0131414267834793	0.016270337922403	0.117021276595745	0.160200250312891	0.143929912390488	0.183354192740926
HTA11_411_2000002021	HTA11_411	normal	GOB	469	1	0.023454157782516	0.0149253731343284	0.0490405117270789	0.0831556503198294	0.0127931769722814	0.0127931769722814	0.0170575692963753	0.0255863539445629	0.375266524520256	0.940298507462687	0.070362473347548	0.0874200426439232
HTA11_411_2000002021	HTA11_411	normal	TAC	276	0.992753623188406	0.0072463768115942	0.0217391304347826	0.0905797101449275	0.115942028985507	0	0	0.0289855072463768	0.0326086956521739	0.0978260869565217	0.115942028985507	0.253623188405797	0.369565217391304
HTA11_5212_2000001011	HTA11_5212	conventional_adenoma	ABS	500	1	0.01	0.012	0.042	0.06	0.004	0.004	0.134	0.192	0.368	0.906	0.312	0.562
HTA11_5212_2000001011	HTA11_5212	conventional_adenoma	GOB	2	1	0	0	0	0	0	0	0	0	0	0	0	0
HTA11_5212_2000001011	HTA11_5212	conventional_adenoma	TAC	3	1	0	0.333333333333333	0	0.333333333333333	0	0	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333
HTA11_5212_2000002011	HTA11_5212	normal	ABS	272	1	0.0294117647058824	0.0220588235294118	0.0441176470588235	0.0882352941176471	0.0220588235294118	0.0220588235294118	0.0110294117647059	0.0147058823529412	0.0330882352941176	0.0441176470588235	0.330882352941176	0.573529411764706
HTA11_5212_2000002011	HTA11_5212	normal	GOB	8	1	0	0	0	0	0	0	0	0	0	0	0	0
HTA11_5212_2000002011	HTA11_5212	normal	TAC	20	1	0	0	0	0	0.05	0.05	0	0	0	0	0.25	0.4
HTA11_5216_2000002011	HTA11_5216	normal	ABS	503	1	0.0238568588469185	0.0139165009940358	0.0874751491053678	0.123260437375746	0.0198807157057654	0.0318091451292246	0.0159045725646123	0.0159045725646123	0.0457256461232604	0.0636182902584493	0.347912524850895	0.572564612326044
HTA11_5216_2000002011	HTA11_5216	normal	GOB	38	1	0	0	0.131578947368421	0.131578947368421	0	0	0.0526315789473684	0.0526315789473684	0.210526315789474	0.5	0.105263157894737	0.131578947368421
HTA11_5216_2000002011	HTA11_5216	normal	TAC	54	1	0.037037037037037	0.0185185185185185	0.0555555555555556	0.111111111111111	0.037037037037037	0.037037037037037	0	0	0.0185185185185185	0.037037037037037	0.62962962962963	1.66666666666667
HTA11_5216_2000002021	HTA11_5216	normal	ABS	867	0.998846597462514	0.0173010380622837	0.00807381776239908	0.0841983852364475	0.10957324106113	0.0069204152249135	0.0069204152249135	0.0357554786620531	0.0403690888119954	0.0461361014994233	0.0565167243367935	0.392156862745098	0.770472895040369
HTA11_5216_2000002021	HTA11_5216	normal	GOB	87	1	0.0344827586206897	0.0229885057471264	0.0229885057471264	0.0804597701149425	0.0114942528735632	0.0114942528735632	0.0459770114942529	0.0459770114942529	0.35632183908046	0.988505747126437	0.0919540229885057	0.114942528735632
HTA11_5216_2000002021	HTA11_5216	normal	TAC	90	1	0	0	0.0888888888888889	0.0888888888888889	0	0	0.0666666666666667	0.0888888888888889	0.0111111111111111	0.0111111111111111	0.566666666666667	1.36666666666667
