gene	arm	logFC	adj.P.Val	direction_stability	bootstrap_ci_low	bootstrap_ci_high	GeneID	type_of_gene	Nomenclature_status	ncbi_current_symbol	annotation_method	GSE117606	GSE40362	GSE41657	GSE50114	GSE72820	GSE8671	n_platforms_present	all_six_platforms_present	protein_coding	objective_selection_eligible	eligibility_rule
KRT10-AS1	down	-0.0815442801157886	0.007740477282724	1.0	-0.114457760564983	-0.0457493746653199	147184	ncRNA	O	KRT10-AS1	current_ncbi_symbol	True	False	False	False	False	False	1	False	False	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
ARL14	down	-0.145882010427756	0.0080538128720048	1.0	-0.214963975921273	-0.0785906802862883	80117	protein-coding	O	ARL14	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
COX6C	down	-0.391516245431671	0.0084410275709751	1.0	-0.560784789919853	-0.203106278181076	1345	protein-coding	O	COX6C	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
MYL12A	down	-0.378646073266381	0.0084410275709751	0.999	-0.56866954267025	-0.163457039371133	10627	protein-coding	O	MYL12A	current_ncbi_symbol	True	False	True	True	True	True	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
CLCA4	down	-0.321180262151317	0.0084410275709751	1.0	-0.449306984245777	-0.215064439177513	22802	protein-coding	O	CLCA4	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SDHD	down	-0.317871744021696	0.0084410275709751	1.0	-0.465759904682636	-0.146953637525439	6392	protein-coding	O	SDHD	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
DAB2	up	0.315014966309838	0.0084410275709751	1.0	0.139005461707711	0.523560440540314	1601	protein-coding	O	DAB2	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
HADH	down	-0.272033765294605	0.0084410275709751	1.0	-0.390154392272234	-0.146554220467806	3033	protein-coding	O	HADH	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
MYORG	down	-0.194351899007309	0.0084410275709751	0.999	-0.274658980965614	-0.100930439122021	57462	protein-coding	O	MYORG	current_ncbi_symbol	True	False	False	False	False	False	1	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
UBE2A	down	-0.188175332804495	0.0084410275709751	1.0	-0.265675478428602	-0.107573356106877	7319	protein-coding	O	UBE2A	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
DPP10-AS1	down	-0.139082643759092	0.0084410275709751	1.0	-0.195842997357249	-0.0775735279545188	389023	ncRNA	O	DPP10-AS1	current_ncbi_symbol	True	False	True	True	False	False	3	False	False	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
FGFRL1	up	0.12655207987579	0.0084410275709751	0.998	0.0568948607891798	0.200040380656719	53834	protein-coding	O	FGFRL1	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
ISL2	down	-0.0697607476954836	0.0084410275709751	1.0	-0.0994951521977782	-0.04587556803599	64843	protein-coding	O	ISL2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
TST	down	-0.449814599919998	0.0089821666566995	1.0	-0.664719970524311	-0.244138737767935	7263	protein-coding	O	TST	current_ncbi_symbol	True	True	True	True	True	True	6	True	True	True	287-core member; protein-coding; feature present on all five external platforms and FFPE
CYFIP2	up	0.155083178824502	0.0092797635167582	1.0	0.0732105424627662	0.246226823329926	26999	protein-coding	O	CYFIP2	current_ncbi_symbol	True	True	False	False	True	False	3	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
SPIB	down	-0.239434990562549	0.0097528575827879	1.0	-0.349372729659081	-0.136136456206441	6689	protein-coding	O	SPIB	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
PXMP2	down	-0.178926965082783	0.0100066674040205	1.0	-0.269616250693798	-0.109982289932668	5827	protein-coding	O	PXMP2	current_ncbi_symbol	True	True	True	True	True	False	5	False	True	False	287-core member; protein-coding; feature present on all five external platforms and FFPE
