gene	module	expected_direction	protein_gene_present	n_normal	n_adenoma	normal_detection_fraction	adenoma_detection_fraction	median_log2_normal	median_log2_adenoma	adenoma_minus_normal_log2_median	standardized_mean_difference	auc_adenoma_greater_than_normal	mann_whitney_u	p_value	age_sex_adjusted_log2_effect	age_sex_adjusted_ci_low	age_sex_adjusted_ci_high	age_sex_adjusted_p	q_value_bh_candidates	age_sex_adjusted_q_bh_candidates	pxd017269_protein_group_present	protein_accessions	n_samples	n_detected	pxd017269_detection_fraction	median_log2_intensity_detected	archival_group_kruskal_p	archival_group_kruskal_q_bh_candidates	pxd046999_detected	enriched_in_metachronous_crc_group	enriched_in_metachronous_hda_group	enriched_in_non_metachronous_group	directionally_concordant_pxd002137
GHITM	M04	-1	True	8	16	1.0	1.0	16.61684116170714	16.45057552172908	-0.16626563997806088	0.2409795615136902	0.578125	74.0	0.568560827007455	0.18247960995774193	-0.6629643500372097	1.0279235699526934	0.672268795052165	0.7321194210780928	0.8301938201156064	True	Q9H3K2	118	118	1.0	15.4148602485657	0.4648325117810086	0.6144287958896354	True	False	True	False	False
PDLIM1	M04	-1	True	8	16	1.0	1.0	18.753070809639222	19.714984161480302	0.9619133518410798	1.8161840825395437	0.8984375	115.0	0.0009436130044556481	0.7407327466521741	0.3574196941138501	1.1240457991904982	0.00015215260647141236	0.008390504823402926	0.0019469193936404474	True	O00151	118	118	1.0	19.2505645751953	0.5490187613000604	0.6869400306950867	True	False	False	False	False
GDF15	M02	1	True	2	6	0.25	0.375	9.235227900121377	12.010259120803106	2.775031220681729	1.4446721077298759	0.9166666666666666	11.0	0.14285714285714285					0.3010890454836643		True	Q99988	118	60	0.5084745762711864	14.896194934845	0.4533060502629819	0.6038662650037895	False	False	False	False	False
CUEDC1	M03	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
ATP5F1C	M04	-1	True	8	16	1.0	1.0	19.479028247329843	19.266826634274597	-0.21220161305524599	-0.7534047176589641	0.28125	36.0	0.09260188369085934	-0.4090820230180876	-0.9408038227528388	0.1226397767166636	0.13157880841108252	0.21839440669743887	0.31593316702926855	False		118	0	0.0				False	False	False	False	False
EPHB4	M02	1	True	4	16	0.5	1.0	10.345610129849554	11.67543426465296	1.329824134803406	1.0166134740866686	0.8125	52.0	0.06398348813209495	1.8574339670190083	-0.3329609986155493	4.047828932653566	0.096506619026603	0.17031203556196794	0.25527289149930904	True	P54760;Q96L35	118	118	1.0	15.9023547172546	0.8900908045708041	0.9359990130440293	True	False	False	False	True
TMEM171	M02	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
MAPK8IP3	M06	1	True	3	5	0.375	0.3125	8.28061531391612	7.608114665433721	-0.6725006484823997	-0.4484295937744542	0.3333333333333333	5.0	0.5714285714285714	0.09650609286560641	-0.7876392804365214	0.9806514661677342	0.8305987815816637	0.7326578332034294	0.9211877422308737	False		118	0	0.0				True	False	False	False	False
ATP5PD	M04	-1	True	8	16	1.0	1.0	20.541350213865556	20.842816793841067	0.30146657997551074	0.3608164225146147	0.6328125	81.0	0.31962919000205303	0.043201473178787975	-0.3959030288331219	0.48230597519069784	0.8470906623865945	0.5067855590875925	0.9279347112743553	False		118	0	0.0				False	False	False	False	False
ENSG00000236449	M04	-1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
KLHL29	M03	1	False	0	0	0.0	0.0														False		118	0	0.0				False	False	False	False	False
