gene	platform	feature_present	eligibility_information
COA3	GSE8671	False	feature availability only
ENSG00000226963	GSE8671	False	feature availability only
GTF2A2	GSE8671	False	feature availability only
HSH2D	GSE8671	False	feature availability only
DDX11	GSE8671	False	feature availability only
ERH	GSE8671	False	feature availability only
NOXA1	GSE8671	False	feature availability only
BUB3	GSE8671	False	feature availability only
TM9SF2	GSE8671	False	feature availability only
WASL	GSE8671	False	feature availability only
ERICH1	GSE8671	False	feature availability only
CYB561D1	GSE8671	False	feature availability only
CCDC115	GSE8671	False	feature availability only
AFDN	GSE8671	False	feature availability only
CA1	GSE8671	False	feature availability only
NDUFB9	GSE8671	False	feature availability only
GSR	GSE8671	False	feature availability only
SEC61B	GSE8671	False	feature availability only
TJP1	GSE8671	False	feature availability only
NOC2L	GSE8671	False	feature availability only
OSTC	GSE8671	False	feature availability only
COX4I1	GSE8671	False	feature availability only
IRF6	GSE8671	False	feature availability only
TMED2	GSE8671	False	feature availability only
PTK2	GSE8671	False	feature availability only
CCNY	GSE8671	False	feature availability only
SPTSSA	GSE8671	False	feature availability only
SLC35B3	GSE8671	False	feature availability only
RAP1A	GSE8671	False	feature availability only
STRAP	GSE8671	False	feature availability only
TPP1	GSE8671	False	feature availability only
UBR7	GSE8671	False	feature availability only
NSD1	GSE8671	False	feature availability only
NT5DC3	GSE8671	False	feature availability only
GATD1-DT	GSE8671	False	feature availability only
TRAPPC12	GSE8671	False	feature availability only
UBE2A	GSE8671	False	feature availability only
PIGL	GSE8671	False	feature availability only
FABP1	GSE8671	True	feature availability only
DNAI3	GSE8671	False	feature availability only
PACS2	GSE8671	False	feature availability only
SEC61G	GSE8671	False	feature availability only
PABPC1	GSE8671	False	feature availability only
ZNF3	GSE8671	False	feature availability only
STRADB	GSE8671	False	feature availability only
VIL1	GSE8671	False	feature availability only
LITAF	GSE8671	False	feature availability only
RRP12	GSE8671	False	feature availability only
ANKRD13D	GSE8671	False	feature availability only
GALNT11	GSE8671	False	feature availability only
TNFRSF10D	GSE8671	False	feature availability only
MYL12B	GSE8671	False	feature availability only
KEAP1	GSE8671	False	feature availability only
PTPRM	GSE8671	False	feature availability only
CHP1	GSE8671	True	feature availability only
CTNNBIP1	GSE8671	False	feature availability only
RCC2	GSE8671	False	feature availability only
TRAF5	GSE8671	False	feature availability only
SLC20A1	GSE8671	False	feature availability only
COTL1	GSE8671	False	feature availability only
STMP1	GSE8671	False	feature availability only
CRTC1	GSE8671	False	feature availability only
TRAP1	GSE8671	False	feature availability only
BCAS3	GSE8671	False	feature availability only
GATD3	GSE8671	False	feature availability only
PGM2L1	GSE8671	False	feature availability only
HNRNPH2	GSE8671	False	feature availability only
PRPS2	GSE8671	False	feature availability only
DGUOK	GSE8671	False	feature availability only
TMSB10	GSE8671	False	feature availability only
MED30	GSE8671	False	feature availability only
PRKRA	GSE8671	False	feature availability only
NDUFB4	GSE8671	False	feature availability only
PAG1	GSE8671	False	feature availability only
BSG	GSE8671	True	feature availability only
NCOR2	GSE8671	False	feature availability only
SPINK4	GSE8671	True	feature availability only
EEF1D	GSE8671	False	feature availability only
EIF1B	GSE8671	False	feature availability only
SUDS3	GSE8671	False	feature availability only
ADCY3	GSE8671	False	feature availability only
MYL6	GSE8671	True	feature availability only
MGAT4A	GSE8671	False	feature availability only
SLC43A2	GSE8671	False	feature availability only
CDC42BPB	GSE8671	False	feature availability only
CTPS2	GSE8671	False	feature availability only
INTS1	GSE8671	False	feature availability only
CCDC47	GSE8671	False	feature availability only
RUSC1-AS1	GSE8671	False	feature availability only
SNRPD3	GSE8671	False	feature availability only
BAZ2B	GSE8671	False	feature availability only
HSPA9	GSE8671	False	feature availability only
PRDX3	GSE8671	False	feature availability only
UBE2E3	GSE8671	False	feature availability only
