module	dataset	species	model_system	comparison	unit_id	target_minus_reference	module_adenoma_direction_sign	module_reversal
M02	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.24604822392585443	1	-0.24604822392585443
M02	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	-0.19893253641394254	1	0.19893253641394254
M03	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	0.024363587380121843	1	-0.024363587380121843
M03	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.2040924934118331	1	-0.2040924934118331
M03	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	-0.07365745982055626	1	0.07365745982055626
M04	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	0.3271368916480475	-1	0.3271368916480475
M04	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.24173415728859304	-1	0.24173415728859304
M04	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	0.03576582625430675	-1	0.03576582625430675
M05	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	0.5575007487482528	-1	0.5575007487482528
M05	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.2308959422002537	-1	0.2308959422002537
M05	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	0.15769267259833786	-1	0.15769267259833786
M06	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	-0.4486405709608198	1	0.4486405709608198
M06	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.10979483079358743	1	-0.10979483079358743
M06	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	-0.3230103807308565	1	0.3230103807308565
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	0.4302065924486763	-1	0.4302065924486763
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.32695005455090176	-1	0.32695005455090176
M09	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	0.11240578858809713	-1	0.11240578858809713
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor1	0.6818817706700703	-1	0.6818817706700703
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor2	0.07770387782912797	-1	0.07770387782912797
M10	GSE125472	human	isogenic_human_colon_organoid	wnt_rspo_withdrawal_in_APC_KO	Donor3	0.19397563070897644	-1	0.19397563070897644
M02	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	0.007582052145632772	1	-0.007582052145632772
M03	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	0.09929283156380721	1	-0.09929283156380721
M04	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	-0.101917802022548	-1	-0.101917802022548
M05	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	-0.12563565456758202	-1	-0.12563565456758202
M06	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	0.33344967266862763	1	-0.33344967266862763
M09	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	-0.4156100597046777	-1	-0.4156100597046777
M10	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HCT_18	0.2068288972579709	-1	0.2068288972579709
M02	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	0.07622607241407378	1	-0.07622607241407378
M02	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.11367591511847899	1	0.11367591511847899
M02	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	-0.2955207666042913	1	0.2955207666042913
M02	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	-0.22320598869844774	1	0.22320598869844774
M03	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	0.12748179739977722	1	-0.12748179739977722
M03	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.33489080937653287	1	0.33489080937653287
M03	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	-0.1801689117853753	1	0.1801689117853753
M03	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	-0.19822477526150178	1	0.19822477526150178
M04	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	0.0670853849310069	-1	0.0670853849310069
M04	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_57	-0.0658483592962644	-1	-0.0658483592962644
M04	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_83	0.009689151598964635	-1	0.009689151598964635
M04	GSE135328	human	crc_cell_line_clone	tcf7l2_KO_vs_WT	HT29_86	0.05213763100686048	-1	0.05213763100686048
M05	GSE135328	human	crc_cell_line_clone	tcf7l2_heterozygous_vs_WT	HT29_62	-0.07024951296165935	-1	-0.07024951296165935
