rank	enrichment_score	hit	pathway
403	-0.0501306132603558	FALSE	Oxidative Phosphorylation
404	-0.050255006841647	FALSE	Oxidative Phosphorylation
405	-0.0503794004229382	FALSE	Oxidative Phosphorylation
406	-0.0505037940042294	FALSE	Oxidative Phosphorylation
407	-0.0506281875855206	FALSE	Oxidative Phosphorylation
408	-0.0507525811668118	FALSE	Oxidative Phosphorylation
409	-0.050876974748103	FALSE	Oxidative Phosphorylation
410	-0.0510013683293942	FALSE	Oxidative Phosphorylation
411	-0.0511257619106854	FALSE	Oxidative Phosphorylation
412	-0.0512501554919766	FALSE	Oxidative Phosphorylation
413	-0.0513745490732678	FALSE	Oxidative Phosphorylation
414	-0.051498942654559	FALSE	Oxidative Phosphorylation
415	-0.0516233362358502	FALSE	Oxidative Phosphorylation
416	-0.0517477298171414	FALSE	Oxidative Phosphorylation
417	-0.0518721233984326	FALSE	Oxidative Phosphorylation
418	-0.0519965169797238	FALSE	Oxidative Phosphorylation
419	-0.052120910561015	FALSE	Oxidative Phosphorylation
420	-0.0522453041423063	FALSE	Oxidative Phosphorylation
421	-0.0523696977235975	FALSE	Oxidative Phosphorylation
422	-0.0524940913048887	FALSE	Oxidative Phosphorylation
423	-0.0526184848861799	FALSE	Oxidative Phosphorylation
424	-0.0527428784674711	FALSE	Oxidative Phosphorylation
425	-0.0528672720487623	FALSE	Oxidative Phosphorylation
426	-0.0529916656300535	FALSE	Oxidative Phosphorylation
427	-0.0531160592113447	FALSE	Oxidative Phosphorylation
428	-0.0532404527926359	FALSE	Oxidative Phosphorylation
429	-0.0533648463739271	FALSE	Oxidative Phosphorylation
430	-0.0534892399552183	FALSE	Oxidative Phosphorylation
431	-0.0536136335365095	FALSE	Oxidative Phosphorylation
432	-0.0537380271178007	FALSE	Oxidative Phosphorylation
433	-0.0538624206990919	FALSE	Oxidative Phosphorylation
434	-0.0539868142803831	FALSE	Oxidative Phosphorylation
435	-0.0541112078616743	FALSE	Oxidative Phosphorylation
436	-0.0542356014429655	FALSE	Oxidative Phosphorylation
437	-0.0543599950242567	FALSE	Oxidative Phosphorylation
438	-0.054484388605548	FALSE	Oxidative Phosphorylation
439	-0.0546087821868392	FALSE	Oxidative Phosphorylation
440	-0.0547331757681304	FALSE	Oxidative Phosphorylation
441	-0.0548575693494216	FALSE	Oxidative Phosphorylation
442	-0.0549819629307128	FALSE	Oxidative Phosphorylation
443	-0.055106356512004	FALSE	Oxidative Phosphorylation
444	-0.0552307500932952	FALSE	Oxidative Phosphorylation
445	-0.0553551436745864	FALSE	Oxidative Phosphorylation
446	-0.0554795372558776	FALSE	Oxidative Phosphorylation
447	-0.0556039308371688	FALSE	Oxidative Phosphorylation
