gene	pride_result_accession	mztab_file	protein_accessions	max_num_psms	max_num_distinct_peptides
ITM2C	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	B8ZZM6;C9JG41;Q9NQX7	2	1
KRT6B	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	F5H6G5	9	8
KRT6B	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	F5H6G5	11	9
KRT6B	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	F5H6G5	6	5
KRT6B	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	F5H6G5	12	7
KRT6B	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	F5H6G5	7	7
KRT6B	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	F5H6G5	15	11
L1TD1	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	Q5T7N2	1	1
LGALS3	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P17931	25	13
LGALS3	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P17931	18	12
LGALS3	31027	PRIDE_Exp_Complete_Ac_31027.pride.mztab.gz	P17931	24	11
LGALS3	31028	PRIDE_Exp_Complete_Ac_31028.pride.mztab.gz	P17931	17	8
LGALS3	31029	PRIDE_Exp_Complete_Ac_31029.pride.mztab.gz	P17931	24	11
LGALS3	31030	PRIDE_Exp_Complete_Ac_31030.pride.mztab.gz	P17931	15	12
LGALS3	31031	PRIDE_Exp_Complete_Ac_31031.pride.mztab.gz	G3V3R6;P17931	13	11
LGALS3	31032	PRIDE_Exp_Complete_Ac_31032.pride.mztab.gz	G3V3R6;P17931	12	10
LGALS3	31033	PRIDE_Exp_Complete_Ac_31033.pride.mztab.gz	P17931	15	10
LGALS3	31034	PRIDE_Exp_Complete_Ac_31034.pride.mztab.gz	P17931	13	9
LGALS3	31035	PRIDE_Exp_Complete_Ac_31035.pride.mztab.gz	P17931	5	5
LGALS4	31025	PRIDE_Exp_Complete_Ac_31025.pride.mztab.gz	P56470	34	21
LGALS4	31026	PRIDE_Exp_Complete_Ac_31026.pride.mztab.gz	P56470	27	21
