x	y	xend	yend
152	0.984812414103791	153	0.984812414103791
156	0	156	0.973004967606791
157	0	157	0.973004967606791
156	0.973004967606791	157	0.973004967606791
155	0	155	0.978909233726499
156.5	0.973004967606791	156.5	0.978909233726499
155	0.978909233726499	156.5	0.978909233726499
160	0	160	0.978088386474131
161	0	161	0.978088386474131
160	0.978088386474131	161	0.978088386474131
163	0	163	0.976102239518439
164	0	164	0.976102239518439
163	0.976102239518439	164	0.976102239518439
167	0	167	0.971957563423944
168	0	168	0.971957563423944
167	0.971957563423944	168	0.971957563423944
166	0	166	0.982364140160365
167.5	0.971957563423944	167.5	0.982364140160365
166	0.982364140160365	167.5	0.982364140160365
170	0	170	0.96947235145692
171	0	171	0.96947235145692
170	0.96947235145692	171	0.96947235145692
169	0	169	0.979453756433194
170.5	0.96947235145692	170.5	0.979453756433194
169	0.979453756433194	170.5	0.979453756433194
172	0	172	0.983888318812753
173	0	173	0.983888318812753
172	0.983888318812753	173	0.983888318812753
175	0	175	0.961288048221287
176	0	176	0.961288048221287
175	0.961288048221287	176	0.961288048221287
174	0	174	0.972873855767878
175.5	0.961288048221287	175.5	0.972873855767878
174	0.972873855767878	175.5	0.972873855767878
178	0	178	0.969563766094839
179	0	179	0.969563766094839
178	0.969563766094839	179	0.969563766094839
177	0	177	0.974872749088318
178.5	0.969563766094839	178.5	0.974872749088318
177	0.974872749088318	178.5	0.974872749088318
174.75	0.972873855767878	174.75	0.977030733280527
177.75	0.974872749088318	177.75	0.977030733280527
174.75	0.977030733280527	177.75	0.977030733280527
183	0	183	0.950917013907189
184	0	184	0.950917013907189
183	0.950917013907189	184	0.950917013907189
182	0	182	0.962159489926955
183.5	0.950917013907189	183.5	0.962159489926955
182	0.962159489926955	183.5	0.962159489926955
181	0	181	0.973787926224693
182.75	0.962159489926955	182.75	0.973787926224693
181	0.973787926224693	182.75	0.973787926224693
180	0	180	0.978192895411229
181.875	0.973787926224693	181.875	0.978192895411229
180	0.978192895411229	181.875	0.978192895411229
176.25	0.977030733280527	176.25	0.979280639739096
180.9375	0.978192895411229	180.9375	0.979280639739096
176.25	0.979280639739096	180.9375	0.979280639739096
185	0	185	0.971986214971451
186	0	186	0.971986214971451
185	0.971986214971451	186	0.971986214971451
188	0	188	0.96940899674446
189	0	189	0.96940899674446
188	0.96940899674446	189	0.96940899674446
187	0	187	0.975630053839821
188.5	0.96940899674446	188.5	0.975630053839821
187	0.975630053839821	188.5	0.975630053839821
185.5	0.971986214971451	185.5	0.980941754124681
187.75	0.975630053839821	187.75	0.980941754124681
185.5	0.980941754124681	187.75	0.980941754124681
178.59375	0.979280639739096	178.59375	0.984552362565032
186.625	0.980941754124681	186.625	0.984552362565032
178.59375	0.984552362565032	186.625	0.984552362565032
192	0	192	0.957824264903862
193	0	193	0.957824264903862
192	0.957824264903862	193	0.957824264903862
191	0	191	0.9721935221725
192.5	0.957824264903862	192.5	0.9721935221725
191	0.9721935221725	192.5	0.9721935221725
190	0	190	0.977029655175577
191.75	0.9721935221725	191.75	0.977029655175577
190	0.977029655175577	191.75	0.977029655175577
195	0	195	0.954054667894455
196	0	196	0.954054667894455
195	0.954054667894455	196	0.954054667894455
194	0	194	0.967515100580309
195.5	0.954054667894455	195.5	0.967515100580309
194	0.967515100580309	195.5	0.967515100580309
198	0	198	0.968690627236707
199	0	199	0.968690627236707
198	0.968690627236707	199	0.968690627236707
197	0	197	0.975167471413244
198.5	0.968690627236707	198.5	0.975167471413244
197	0.975167471413244	198.5	0.975167471413244
194.75	0.967515100580309	194.75	0.977252683651156
197.75	0.975167471413244	197.75	0.977252683651156
194.75	0.977252683651156	197.75	0.977252683651156
190.875	0.977029655175577	190.875	0.981680511101039
196.25	0.977252683651156	196.25	0.981680511101039
190.875	0.981680511101039	196.25	0.981680511101039
200	0	200	0.982047083371324
201	0	201	0.982047083371324
200	0.982047083371324	201	0.982047083371324
193.5625	0.981680511101039	193.5625	0.983187671885811
200.5	0.982047083371324	200.5	0.983187671885811
193.5625	0.983187671885811	200.5	0.983187671885811
204	0	204	0.96064936184764
205	0	205	0.96064936184764
204	0.96064936184764	205	0.96064936184764
