gene	full_common_effect	full_common_z	shared_direction	state_sign_stability_ABS	state_sign_stability_GOB	state_sign_stability_TAC	common_sign_stability	leaveout_common_effect_min	leaveout_common_effect_median	leaveout_common_effect_max	minimum_state_sign_stability
ABCD3	-0.337870397272451	-3.22217882659298	down	1	1	1	1	-0.383130849631108	-0.334069351290371	-0.240173494538088	1
FBXL18	0.437230040837769	3.22077787068039	up	1	1	1	1	0.343188364879661	0.451786131827503	0.603173446609117	1
GOLM1	-0.255666232434346	-3.21964307541179	down	1	1	1	1	-0.293504281886273	-0.264499513664715	-0.170621504282801	1
NIF3L1	-0.3680689230944	-3.21855592800958	down	1	1	1	1	-0.436079369526571	-0.370146604992749	-0.29868060529054	1
NFKBIA	-0.371553147382813	-3.21558012753049	down	1	1	1	1	-0.492558055643345	-0.387663293261119	-0.342185207043772	1
REEP5	-0.257271076632927	-3.21540400004738	down	1	1	1	1	-0.320238786193384	-0.263459182385585	-0.223621018257565	1
PRKCE	0.253830584107779	3.21420424717644	up	1	1	1	1	0.215200138109158	0.253614148008435	0.285699573699093	1
STIM2	0.30582499095342	3.21352037679898	up	1	1	1	1	0.27790563136174	0.339746647312238	0.40624338333466	1
USP22	-0.206606358083079	-3.21245980082607	down	1	1	1	1	-0.243086798732788	-0.207540071185227	-0.169077248121878	1
MYO5B	0.159836017701985	3.21207377532624	up	1	1	1	1	0.136584836980991	0.167877526294195	0.190108075087493	1
SRSF4	0.196852261136197	3.21098357861624	up	1	1	1	1	0.163755829118515	0.206175939962827	0.244213089253461	1
NUDT2	0.24729177041842	3.21034776857647	up	1	1	1	1	0.147091744470752	0.224927929417495	0.265952927343448	1
PSME3	-0.327967005844167	-3.20877219692909	down	1	1	1	1	-0.41502252979483	-0.355536432528612	-0.267345601388071	1
ZFAND6	-0.254784517378978	-3.20871651988934	down	1	1	1	1	-0.26024990655274	-0.222421296296547	-0.150470050264376	1
PSENEN	-0.44906159885577	-3.20647162543479	down	1	1	1	1	-0.52063118113497	-0.424399278088514	-0.369103333573603	1
PGM3	-0.364915259511122	-3.20575583999844	down	1	1	1	1	-0.325653004525105	-0.263215225562406	-0.171405205568594	1
NFIA	0.256952624452139	3.20298442572671	up	1	1	1	1	0.207704816750951	0.269755743852	0.305851102296494	1
